Country Name,Country Code,Surface
IDA & IBRD total,IBT,95991019.3815939
IDA total,IDA,24626384.7587491
IDA blend,IDB,6055868.79310345
Indonesia,IDN,1911112.77478448
IDA only,IDX,18570515.9656456
Isle of Man,IMN,570
India,IND,3287259.91918103
Ireland,IRL,70280
"Iran, Islamic Rep.",IRN,1745150
Iraq,IRQ,437769.51643319
Iceland,ISL,103000
Israel,ISR,22070
Italy,ITA,301340
Jamaica,JAM,10990
Jordan,JOR,88873.1034482759
Japan,JPN,377843.05158944
Kazakhstan,KAZ,2724900.87284483
Kenya,KEN,580370
Kyrgyz Republic,KGZ,199949.879781789
Cambodia,KHM,181040
Kiribati,KIR,810
St. Kitts and Nevis,KNA,289.48275862069
"Korea, Rep.",KOR,99475.8277209052
Kuwait,KWT,17820
Latin America & Caribbean (excluding high income),LAC,19403663.7035291
Lao PDR,LAO,236800
Lebanon,LBN,10450
Liberia,LBR,111370
Libya,LBY,1759540
St. Lucia,LCA,620
Latin America & Caribbean,LCN,20442887.4562733
Least developed countries: UN classification,LDC,18270662.896276
Low income,LIC,14092531.8275189
Liechtenstein,LIE,160
Sri Lanka,LKA,65610
Lower middle income,LMC,20838684.8834123
Low & middle income,LMY,94844115.9185012
Lesotho,LSO,30360
Late-demographic dividend,LTE,45769317.9656519
Lithuania,LTU,65298.7931876347
Luxembourg,LUX,2590
Latvia,LVA,64548.3100585938
"Macao SAR, China",MAC,22.8310344548061
St. Martin (French part),MAF,54.4000000000001
Morocco,MAR,446550
Monaco,MCO,2
Moldova,MDA,33798.7931034483
Madagascar,MDG,587075.172413793
Maldives,MDV,300
Middle East & North Africa,MEA,11372825.5853995
Mexico,MEX,1964379.74137931
Marshall Islands,MHL,180
Middle income,MIC,80751584.0909823
North Macedonia,MKD,25710
Mali,MLI,1240190
Malta,MLT,320
Myanmar,MMR,676590
Middle East & North Africa (excluding high income),MNA,8777502.61988147
Montenegro,MNE,13810
Mongolia,MNG,1564120
Northern Mariana Islands,MNP,460
Mozambique,MOZ,798707.586206897
Mauritania,MRT,1030700
Mauritius,MUS,2040
Malawi,MWI,118480
Malaysia,MYS,330754.690193966
North America,NAC,19653047.7241388
Namibia,NAM,824290
New Caledonia,NCL,18580
Niger,NER,1267000
Nigeria,NGA,923770
Nicaragua,NIC,130370
Netherlands,NLD,41532.4137931035
Norway,NOR,410009.639008621
Nepal,NPL,147180
Nauru,NRU,20
New Zealand,NZL,267710
OECD members,OED,36168867.7130085
Oman,OMN,309500
Other small states,OSS,2077966.03420784
Pakistan,PAK,796100
Panama,PAN,75420
Peru,PER,1285220
Philippines,PHL,300000
Palau,PLW,460
Papua New Guinea,PNG,462840
Poland,POL,312687.75862069
Pre-demographic dividend,PRE,18164133.2751149
Puerto Rico,PRI,8870
"Korea, Dem. People’s Rep.",PRK,120540
Portugal,PRT,92135.0547211746
Paraguay,PRY,406750.309132543
West Bank and Gaza,PSE,6020
Pacific island small states,PSS,64456.8965517241
Post-demographic dividend,PST,33138938.0639112
French Polynesia,PYF,4000
Qatar,QAT,11610
Romania,ROU,238391.034482759
Russian Federation,RUS,17098241.5517241
Rwanda,RWA,26340
South Asia,SAS,5141279.05677532
Saudi Arabia,SAU,2149690
Sudan,SDN,1886000
Senegal,SEN,196710
Singapore,SGP,688.672414319269
Solomon Islands,SLB,28900
Sierra Leone,SLE,72300
El Salvador,SLV,21040
San Marino,SMR,60
Somalia,SOM,637660
Serbia,SRB,88360
Sub-Saharan Africa (excluding high income),SSA,21766103.7586817
South Sudan,SSD,619745
Sub-Saharan Africa,SSF,21766563.7586817
Small states,SST,2577442.41351818
Sao Tome and Principe,STP,960
Suriname,SUR,163820
Slovak Republic,SVK,49030.6897393588
Slovenia,SVN,20311.8965517241
Sweden,SWE,449953.103448276
Swaziland,SWZ,17360
Sint Maarten (Dutch part),SXM,34
Seychelles,SYC,460
Syrian Arab Republic,SYR,185180
Turks and Caicos Islands,TCA,950
Chad,TCD,1284000
East Asia & Pacific (IDA & IBRD countries),TEA,16149740.2512123
Europe & Central Asia (IDA & IBRD countries),TEC,23854551.7008351
Togo,TGO,56790
Thailand,THA,513120
Tajikistan,TJK,142449.068898168
Turkmenistan,TKM,488100
Latin America & the Caribbean (IDA & IBRD countries),TLA,20307401.994208
Timor-Leste,TLS,14870
Middle East & North Africa (IDA & IBRD countries),TMN,8771482.61988147
Tonga,TON,750
South Asia (IDA & IBRD),TSA,5141279.05677532
Sub-Saharan Africa (IDA & IBRD countries),TSS,21766563.7586817
Trinidad and Tobago,TTO,5130
Tunisia,TUN,163610
Turkey,TUR,785350
Tuvalu,TUV,30
Tanzania,TZA,947300
Uganda,UGA,241550
Ukraine,UKR,603555.517241379
Upper middle income,UMC,59912899.2075701
Uruguay,URY,176220
United States,USA,9667885.51724138
Uzbekistan,UZB,447400
St. Vincent and the Grenadines,VCT,390
"Venezuela, RB",VEN,912050
British Virgin Islands,VGB,150
Virgin Islands (U.S.),VIR,350
Vietnam,VNM,331099.930630388
Vanuatu,VUT,12190
World,WLD,131624092.183285
Samoa,WSM,2840
Kosovo,XKX,10887
"Yemen, Rep.",YEM,527970
South Africa,ZAF,1219090
Zambia,ZMB,752610
Zimbabwe,ZWE,390760
